Team_1,Team_2,Winner,Margin,Ground,Match Date
Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,"Jan 4, 2010"
India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Jan 5, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010"
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Jan 8, 2010"
India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010"
Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010"
India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,"Jan 13, 2010"
Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 22, 2010"
Australia,Pakistan,Australia,140 runs,Sydney,"Jan 24, 2010"
Australia,Pakistan,Australia,40 runs,Adelaide,"Jan 26, 2010"
Australia,Pakistan,Australia,135 runs,Perth,"Jan 29, 2010"
Australia,Pakistan,Australia,2 wickets,Perth,"Jan 31, 2010"
New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010"
Australia,West Indies,Australia,113 runs,Melbourne,"Feb 7, 2010"
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010"
Australia,West Indies,Australia,8 wickets,Adelaide,"Feb 9, 2010"
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010"
Australia,West Indies,no result,,Sydney,"Feb 12, 2010"
Australia,West Indies,Australia,50 runs,Brisbane,"Feb 14, 2010"
Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),"Feb 16, 2010"
Afghanistan,Canada,Afghanistan,1 run,Sharjah,"Feb 16, 2010"
Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),"Feb 18, 2010"
Afghanistan,Canada,Canada,4 wickets,Sharjah,"Feb 18, 2010"
Australia,West Indies,Australia,125 runs,Melbourne,"Feb 19, 2010"
India,South Africa,India,1 run,Jaipur,"Feb 21, 2010"
India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010"
India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010"
Bangladesh,England,England,6 wickets,Dhaka,"Feb 28, 2010"
Bangladesh,England,England,2 wickets,Dhaka,"Mar 2, 2010"
New Zealand,Australia,New Zealand,2 wickets,Napier,"Mar 3, 2010"
West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,"Mar 4, 2010"
Bangladesh,England,England,45 runs,Chittagong,"Mar 5, 2010"
New Zealand,Australia,Australia,12 runs,Auckland,"Mar 6, 2010"
West Indies,Zimbabwe,West Indies,4 wickets,Providence,"Mar 6, 2010"
New Zealand,Australia,Australia,6 wickets,Hamilton,"Mar 9, 2010"
West Indies,Zimbabwe,West Indies,141 runs,Kingstown,"Mar 10, 2010"
New Zealand,Australia,Australia,6 wickets,Auckland,"Mar 11, 2010"
West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 12, 2010"
New Zealand,Australia,New Zealand,51 runs,Wellington,"Mar 13, 2010"
West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,"Mar 14, 2010"
West Indies,Canada,West Indies,208 runs,Kingston,"Apr 13, 2010"
West Indies,Ireland,West Indies,6 wickets,Kingston,"Apr 15, 2010"
West Indies,South Africa,South Africa,66 runs,North Sound,"May 22, 2010"
West Indies,South Africa,South Africa,17 runs,North Sound,"May 24, 2010"
Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,"May 28, 2010"
West Indies,South Africa,South Africa,67 runs,Roseau,"May 28, 2010"
India,Sri Lanka,India,7 wickets,Bulawayo,"May 30, 2010"
West Indies,South Africa,South Africa,7 wickets,Roseau,"May 30, 2010"
Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,"Jun 1, 2010"
Zimbabwe,India,Zimbabwe,7 wickets,Harare,"Jun 3, 2010"
West Indies,South Africa,South Africa,1 wicket,Port of Spain,"Jun 3, 2010"
India,Sri Lanka,Sri Lanka,6 wickets,Harare,"Jun 5, 2010"
Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,"Jun 7, 2010"
Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,"Jun 9, 2010"
Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,"Jun 15, 2010"
Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,"Jun 15, 2010"
Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010"
Ireland,Australia,Australia,39 runs,Dublin,"Jun 17, 2010"
Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,"Jun 18, 2010"
India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010"
Scotland,England,England,7 wickets,Edinburgh,"Jun 19, 2010"
Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,"Jun 21, 2010"
Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,"Jun 22, 2010"
England,Australia,England,4 wickets,Southampton,"Jun 22, 2010"
Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010"
England,Australia,England,4 wickets,Cardiff,"Jun 24, 2010"
England,Australia,England,1 wicket,Manchester,"Jun 27, 2010"
England,Australia,Australia,78 runs,The Oval,"Jun 30, 2010"
Afghanistan,Canada,Afghanistan,6 wickets,The Hague,"Jul 1, 2010"
Ireland,Kenya,Ireland,7 wickets,Rotterdam,"Jul 1, 2010"
Netherlands,Scotland,Scotland,1 wicket,Amstelveen,"Jul 1, 2010"
Afghanistan,Ireland,Ireland,39 runs,Rotterdam,"Jul 3-4, 2010"
Canada,Scotland,Scotland,69 runs,Amstelveen,"Jul 3, 2010"
Netherlands,Kenya,Netherlands,117 runs,The Hague,"Jul 3, 2010"
England,Australia,Australia,42 runs,Lord's,"Jul 3, 2010"
Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen,"Jul 5, 2010"
Ireland,Scotland,Ireland,5 wickets,The Hague,"Jul 5, 2010"
Netherlands,Canada,Netherlands,7 wickets,Rotterdam,"Jul 5, 2010"
Canada,Ireland,Ireland,5 wickets,Amstelveen,"Jul 7, 2010"
Kenya,Scotland,Scotland,6 runs,Rotterdam,"Jul 7, 2010"
Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague,"Jul 7, 2010"
England,Bangladesh,England,6 wickets,Nottingham,"Jul 8, 2010"
Afghanistan,Scotland,Scotland,2 wickets,Rotterdam,"Jul 9, 2010"
Canada,Kenya,Canada,6 wickets,Schiedam,"Jul 9, 2010"
Netherlands,Ireland,Ireland,39 runs,Amstelveen,"Jul 9, 2010"
Canada,Kenya,Canada,3 wickets,Schiedam,"Jul 10, 2010"
Ireland,Scotland,Ireland,6 wickets,Amstelveen,"Jul 10, 2010"
Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam,"Jul 10, 2010"
England,Bangladesh,Bangladesh,5 runs,Bristol,"Jul 10, 2010"
England,Bangladesh,England,144 runs,Birmingham,"Jul 12, 2010"
Ireland,Bangladesh,Ireland,7 wickets,Belfast,"Jul 15, 2010"
Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,"Jul 16, 2010"
Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,"Jul 20, 2010"
India,New Zealand,New Zealand,200 runs,Dambulla,"Aug 10, 2010"
Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,"Aug 13, 2010"
Sri Lanka,India,India,6 wickets,Dambulla,"Aug 16, 2010"
Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,"Aug 16, 2010"
Ireland,Netherlands,Ireland,70 runs,Dublin,"Aug 16, 2010"
Scotland,Afghanistan,Scotland,6 wickets,Ayr,"Aug 17, 2010"
Ireland,Netherlands,Ireland,9 wickets,Dublin,"Aug 18, 2010"
Sri Lanka,New Zealand,no result,,Dambulla,"Aug 19-20, 2010"
Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,"Aug 22, 2010"
India,New Zealand,India,105 runs,Dambulla,"Aug 25, 2010"
Sri Lanka,India,Sri Lanka,74 runs,Dambulla,"Aug 28, 2010"
Canada,Ireland,Canada,4 runs,Toronto,"Sep 6, 2010"
Canada,Ireland,Ireland,92 runs,Toronto,"Sep 7, 2010"
England,Pakistan,England,24 runs,Chester-le-Street,"Sep 10, 2010"
England,Pakistan,England,4 wickets,Leeds,"Sep 12, 2010"
England,Pakistan,Pakistan,23 runs,The Oval,"Sep 17, 2010"
England,Pakistan,Pakistan,38 runs,Lord's,"Sep 20, 2010"
England,Pakistan,England,121 runs,Southampton,"Sep 22, 2010"
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Sep 26, 2010"
Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Sep 28, 2010"
Zimbabwe,Ireland,Ireland,20 runs,Harare,"Sep 30, 2010"
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 5, 2010"
Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),"Oct 7, 2010"
Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),"Oct 9, 2010"
Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,"Oct 11, 2010"
Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),"Oct 11, 2010"
Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,"Oct 14, 2010"
South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,"Oct 15, 2010"
Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,"Oct 17, 2010"
South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,"Oct 17, 2010"
India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010"
South Africa,Zimbabwe,South Africa,272 runs,Benoni,"Oct 22, 2010"
Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,"Oct 29, 2010"
Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi,"Oct 31, 2010"
Pakistan,South Africa,South Africa,2 runs,Dubai (DSC),"Nov 2, 2010"
Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,"Nov 3, 2010"
Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,"Nov 5, 2010"
Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC),"Nov 5, 2010"
Australia,Sri Lanka,Australia,8 wickets,Brisbane,"Nov 7, 2010"
Pakistan,South Africa,South Africa,57 runs,Dubai (DSC),"Nov 8, 2010"
India,New Zealand,India,40 runs,Guwahati,"Nov 28, 2010"
Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka,"Dec 1, 2010"
India,New Zealand,India,8 wickets,Jaipur,"Dec 1, 2010"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Dec 3, 2010"
India,New Zealand,India,9 wickets,Vadodara,"Dec 4, 2010"
Bangladesh,Zimbabwe,Bangladesh,65 runs,Dhaka,"Dec 6, 2010"
India,New Zealand,India,5 wickets,Bengaluru,"Dec 7, 2010"
India,New Zealand,India,8 wickets,Chennai,"Dec 10, 2010"
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chittagong,"Dec 12, 2010"
South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011"
South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011"
Australia,England,Australia,6 wickets,Melbourne,"Jan 16, 2011"
South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011"
Australia,England,Australia,46 runs,Hobart,"Jan 21, 2011"
South Africa,India,South Africa,48 runs,Port Elizabeth,"Jan 21, 2011"
New Zealand,Pakistan,New Zealand,9 wickets,Wellington,"Jan 22, 2011"
Australia,England,Australia,4 wickets,Sydney,"Jan 23, 2011"
South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011"
New Zealand,Pakistan,no result,,Queenstown,"Jan 26, 2011"
Australia,England,England,21 runs,Adelaide,"Jan 26, 2011"
New Zealand,Pakistan,Pakistan,43 runs,Christchurch,"Jan 29, 2011"
Australia,England,Australia,51 runs,Brisbane,"Jan 30, 2011"
Sri Lanka,West Indies,no result,,Colombo (SSC),"Jan 31, 2011"
New Zealand,Pakistan,Pakistan,2 wickets,Napier,"Feb 1, 2011"
Australia,England,Australia,2 wickets,Sydney,"Feb 2, 2011"
New Zealand,Pakistan,Pakistan,41 runs,Hamilton,"Feb 3, 2011"
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),"Feb 3, 2011"
New Zealand,Pakistan,New Zealand,57 runs,Auckland,"Feb 5, 2011"
Australia,England,Australia,57 runs,Perth,"Feb 6, 2011"
Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),"Feb 6, 2011"
Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011"
Kenya,New Zealand,New Zealand,10 wickets,Chennai,"Feb 20, 2011"
Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,"Feb 20, 2011"
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011"
England,Netherlands,England,6 wickets,Nagpur,"Feb 22, 2011"
Kenya,Pakistan,Pakistan,205 runs,Hambantota,"Feb 23, 2011"
South Africa,West Indies,South Africa,7 wickets,Delhi,"Feb 24, 2011"
Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011"
Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,"Feb 25, 2011"
Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),"Feb 26, 2011"
India,England,tied,,Bengaluru,"Feb 27, 2011"
Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,"Feb 28, 2011"
Netherlands,West Indies,West Indies,215 runs,Delhi,"Feb 28, 2011"
Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),"Mar 1, 2011"
England,Ireland,Ireland,3 wickets,Bengaluru,"Mar 2, 2011"
Netherlands,South Africa,South Africa,231 runs,Mohali,"Mar 3, 2011"
Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),"Mar 3, 2011"
New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,"Mar 4, 2011"
Bangladesh,West Indies,West Indies,9 wickets,Dhaka,"Mar 4, 2011"
Sri Lanka,Australia,no result,,Colombo (RPS),"Mar 5, 2011"
England,South Africa,England,6 runs,Chennai,"Mar 6, 2011"
India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011"
Canada,Kenya,Canada,5 wickets,Delhi,"Mar 7, 2011"
New Zealand,Pakistan,New Zealand,110 runs,Pallekele,"Mar 8, 2011"
India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011"
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,"Mar 10, 2011"
Ireland,West Indies,West Indies,44 runs,Mohali,"Mar 11, 2011"
Bangladesh,England,Bangladesh,2 wickets,Chittagong,"Mar 11, 2011"
India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011"
Canada,New Zealand,New Zealand,97 runs,Mumbai,"Mar 13, 2011"
Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011"
Bangladesh,Netherlands,Bangladesh,6 wickets,Chittagong,"Mar 14, 2011"
Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,"Mar 14, 2011"
Ireland,South Africa,South Africa,131 runs,Kolkata,"Mar 15, 2011"
Australia,Canada,Australia,7 wickets,Bengaluru,"Mar 16, 2011"
England,West Indies,England,18 runs,Chennai,"Mar 17, 2011"
Ireland,Netherlands,Ireland,6 wickets,Kolkata,"Mar 18, 2011"
New Zealand,Sri Lanka,Sri Lanka,112 runs,Mumbai,"Mar 18, 2011"
Bangladesh,South Africa,South Africa,206 runs,Dhaka,"Mar 19, 2011"
Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2011"
Kenya,Zimbabwe,Zimbabwe,161 runs,Kolkata,"Mar 20, 2011"
India,West Indies,India,80 runs,Chennai,"Mar 20, 2011"
Pakistan,West Indies,Pakistan,10 wickets,Dhaka,"Mar 23, 2011"
India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011"
New Zealand,South Africa,New Zealand,49 runs,Dhaka,"Mar 25, 2011"
Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),"Mar 26, 2011"
Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),"Mar 29, 2011"
India,Pakistan,India,29 runs,Mohali,"Mar 30, 2011"
India,Sri Lanka,India,6 wickets,Mumbai,"Apr 2, 2011"
Bangladesh,Australia,Australia,60 runs,Dhaka,"Apr 9, 2011"
Bangladesh,Australia,Australia,9 wickets,Dhaka,"Apr 11, 2011"
Bangladesh,Australia,Australia,66 runs,Dhaka,"Apr 13, 2011"
West Indies,Pakistan,Pakistan,8 wickets,Gros Islet,"Apr 23, 2011"
West Indies,Pakistan,Pakistan,7 wickets,Gros Islet,"Apr 25, 2011"
West Indies,Pakistan,Pakistan,3 wickets,Bridgetown,"Apr 28, 2011"
West Indies,Pakistan,West Indies,1 run,Bridgetown,"May 2, 2011"
West Indies,Pakistan,West Indies,10 wickets,Providence,"May 5, 2011"
Ireland,Pakistan,Pakistan,7 wickets,Belfast,"May 28, 2011"
Ireland,Pakistan,Pakistan,5 wickets,Belfast,"May 30, 2011"
West Indies,India,India,4 wickets,Port of Spain,"Jun 6, 2011"
West Indies,India,India,7 wickets,Port of Spain,"Jun 8, 2011"
West Indies,India,India,3 wickets,North Sound,"Jun 11, 2011"
West Indies,India,West Indies,103 runs,North Sound,"Jun 13, 2011"
West Indies,India,West Indies,7 wickets,Kingston,"Jun 16, 2011"
Scotland,Netherlands,Scotland,15 runs,Aberdeen,"Jun 28, 2011"
England,Sri Lanka,England,110 runs,The Oval,"Jun 28, 2011"
Scotland,Netherlands,Scotland,5 wickets,Aberdeen,"Jun 29, 2011"
England,Sri Lanka,Sri Lanka,69 runs,Leeds,"Jul 1, 2011"
England,Sri Lanka,Sri Lanka,6 wickets,Lord's,"Jul 3, 2011"
England,Sri Lanka,England,10 wickets,Nottingham,"Jul 6, 2011"
England,Sri Lanka,England,16 runs,Manchester,"Jul 9, 2011"
Scotland,Ireland,Scotland,5 wickets,Edinburgh,"Jul 12, 2011"
Scotland,Sri Lanka,Sri Lanka,183 runs,Edinburgh,"Jul 13, 2011"
Canada,Afghanistan,Afghanistan,2 wickets,King City (NW),"Aug 7, 2011"
Canada,Afghanistan,Afghanistan,17 runs,Toronto,"Aug 9, 2011"
Sri Lanka,Australia,Australia,7 wickets,Pallekele,"Aug 10, 2011"
Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare,"Aug 12, 2011"
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Aug 14, 2011"
Sri Lanka,Australia,Australia,8 wickets,Hambantota,"Aug 14, 2011"
Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare,"Aug 16, 2011"
Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota,"Aug 16, 2011"
Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo,"Aug 19, 2011"
Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Aug 20, 2011"
Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo,"Aug 21, 2011"
Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 22, 2011"
Ireland,England,England,11 runs,Dublin,"Aug 25, 2011"
England,India,no result,,Chester-le-Street,"Sep 3, 2011"
England,India,England,7 wickets,Southampton,"Sep 6, 2011"
Zimbabwe,Pakistan,Pakistan,5 runs,Bulawayo,"Sep 8, 2011"
England,India,England,3 wickets,The Oval,"Sep 9, 2011"
Zimbabwe,Pakistan,Pakistan,10 wickets,Harare,"Sep 11, 2011"
England,India,tied,,Lord's,"Sep 11, 2011"
Netherlands,Kenya,Netherlands,2 wickets,The Hague,"Sep 12, 2011"
Netherlands,Kenya,Netherlands,4 wickets,The Hague,"Sep 13, 2011"
Zimbabwe,Pakistan,Pakistan,28 runs,Harare,"Sep 14, 2011"
England,India,England,6 wickets,Cardiff,"Sep 16, 2011"
Ireland,Canada,Ireland,133 runs,Dublin,"Sep 19, 2011"
Ireland,Canada,Ireland,56 runs,Dublin,"Sep 20, 2011"
Bangladesh,West Indies,West Indies,40 runs,Dhaka,"Oct 13, 2011"
India,England,India,126 runs,Hyderabad (Deccan),"Oct 14, 2011"
Bangladesh,West Indies,West Indies,8 wickets,Dhaka,"Oct 15, 2011"
India,England,India,8 wickets,Delhi,"Oct 17, 2011"
Bangladesh,West Indies,Bangladesh,8 wickets,Chittagong,"Oct 18, 2011"
South Africa,Australia,Australia,93 runs,Centurion,"Oct 19, 2011"
Zimbabwe,New Zealand,New Zealand,9 wickets,Harare,"Oct 20, 2011"
India,England,India,5 wickets,Mohali,"Oct 20, 2011"
Zimbabwe,New Zealand,New Zealand,4 wickets,Harare,"Oct 22, 2011"
India,England,India,6 wickets,Mumbai,"Oct 23, 2011"
South Africa,Australia,South Africa,80 runs,Port Elizabeth,"Oct 23, 2011"
Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo,"Oct 25, 2011"
India,England,India,95 runs,Kolkata,"Oct 25, 2011"
South Africa,Australia,Australia,3 wickets,Durban,"Oct 28, 2011"
Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC),"Nov 11, 2011"
Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC),"Nov 14, 2011"
Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC),"Nov 18, 2011"
Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah,"Nov 20, 2011"
Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi,"Nov 23, 2011"
India,West Indies,India,1 wicket,Cuttack,"Nov 29, 2011"
Bangladesh,Pakistan,Pakistan,5 wickets,Dhaka,"Dec 1, 2011"
India,West Indies,India,5 wickets,Visakhapatnam,"Dec 2, 2011"
Bangladesh,Pakistan,Pakistan,76 runs,Dhaka,"Dec 3, 2011"
India,West Indies,West Indies,16 runs,Ahmedabad,"Dec 5, 2011"
Bangladesh,Pakistan,Pakistan,58 runs,Chittagong,"Dec 6, 2011"
India,West Indies,India,153 runs,Indore,"Dec 8, 2011"
India,West Indies,India,34 runs,Chennai,"Dec 11, 2011"
South Africa,Sri Lanka,South Africa,258 runs,Paarl,"Jan 11, 2012"
South Africa,Sri Lanka,South Africa,5 wickets,East London,"Jan 14, 2012"
South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,"Jan 17, 2012"
South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,"Jan 20, 2012"
South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,"Jan 22, 2012"
New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,"Feb 3, 2012"
Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012"
New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,"Feb 6, 2012"
India,Sri Lanka,India,4 wickets,Perth,"Feb 8, 2012"
New Zealand,Zimbabwe,New Zealand,202 runs,Napier,"Feb 9, 2012"
Australia,Sri Lanka,Australia,5 runs,Perth,"Feb 10, 2012"
Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,"Feb 10, 2012"
Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012"
England,Pakistan,England,130 runs,Abu Dhabi,"Feb 13, 2012"
India,Sri Lanka,tied,,Adelaide,"Feb 14, 2012"
England,Pakistan,England,20 runs,Abu Dhabi,"Feb 15, 2012"
Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,"Feb 17, 2012"
Kenya,Ireland,Kenya,7 wickets,Mombasa,"Feb 18, 2012"
England,Pakistan,England,9 wickets,Dubai (DSC),"Feb 18, 2012"
Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012"
Kenya,Ireland,Ireland,117 runs,Mombasa,"Feb 20, 2012"
India,Sri Lanka,Sri Lanka,51 runs,Brisbane,"Feb 21, 2012"
England,Pakistan,England,4 wickets,Dubai (DSC),"Feb 21, 2012"
Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,"Feb 24, 2012"
New Zealand,South Africa,South Africa,6 wickets,Wellington,"Feb 25, 2012"
Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012"
India,Sri Lanka,India,7 wickets,Hobart,"Feb 28, 2012"
New Zealand,South Africa,South Africa,6 wickets,Napier,"Feb 29, 2012"
Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,"Mar 2, 2012"
New Zealand,South Africa,South Africa,5 wickets,Auckland,"Mar 3, 2012"
Australia,Sri Lanka,Australia,15 runs,Brisbane,"Mar 4, 2012"
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Mar 6, 2012"
Australia,Sri Lanka,Australia,16 runs,Adelaide,"Mar 8, 2012"
Bangladesh,Pakistan,Pakistan,21 runs,Dhaka,"Mar 11, 2012"
India,Sri Lanka,India,50 runs,Dhaka,"Mar 13, 2012"
Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,"Mar 15, 2012"
Bangladesh,India,Bangladesh,5 wickets,Dhaka,"Mar 16, 2012"
West Indies,Australia,Australia,64 runs,Kingstown,"Mar 16, 2012"
India,Pakistan,India,6 wickets,Dhaka,"Mar 18, 2012"
West Indies,Australia,West Indies,5 wickets,Kingstown,"Mar 18, 2012"
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Mar 20, 2012"
West Indies,Australia,tied,,Kingstown,"Mar 20, 2012"
Bangladesh,Pakistan,Pakistan,2 runs,Dhaka,"Mar 22, 2012"
West Indies,Australia,West Indies,42 runs,Gros Islet,"Mar 23, 2012"
West Indies,Australia,Australia,30 runs,Gros Islet,"Mar 25, 2012"
Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah,"Mar 29, 2012"
