Team_1,Team_2,Winner,Margin,Ground,Match Date
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015"
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015"
Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015"
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015"
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015"
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015"
New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015"
Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015"
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015"
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015"
England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015"
West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015"
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015"
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015"
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015"
South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015"
New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015"
India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015"
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015"
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015"
Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015"
Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015"
Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015"
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015"
India,West Indies,India,4 wickets,Perth,"Mar 6, 2015"
Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015"
Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015"
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015"
Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015"
Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015"
India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015"
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015"
South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015"
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015"
Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015"
India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015"
Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015"
U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015"
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015"
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015"
Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015"
Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015"
New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015"
New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015"
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015"
Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015"
Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka,"Apr 17, 2015"
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,"Apr 19, 2015"
Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka,"Apr 22, 2015"
Ireland,England,no result,,Dublin (Malahide),"May 8, 2015"
Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,"May 26, 2015"
Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,"May 29, 2015"
Pakistan,Zimbabwe,no result,,Lahore,"May 31, 2015"
England,New Zealand,England,210 runs,Birmingham,"Jun 9, 2015"
England,New Zealand,New Zealand,13 runs,The Oval,"Jun 12, 2015"
England,New Zealand,New Zealand,3 wickets,Southampton,"Jun 14, 2015"
England,New Zealand,England,7 wickets,Nottingham,"Jun 17, 2015"
Bangladesh,India,Bangladesh,79 runs,Dhaka,"Jun 18, 2015"
England,New Zealand,England,3 wickets,Chester-le-Street,"Jun 20, 2015"
Bangladesh,India,Bangladesh,6 wickets,Dhaka,"Jun 21, 2015"
Bangladesh,India,India,77 runs,Dhaka,"Jun 24, 2015"
Zimbabwe,India,India,4 runs,Harare,"Jul 10, 2015"
Bangladesh,South Africa,South Africa,8 wickets,Dhaka,"Jul 10, 2015"
Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,"Jul 11, 2015"
Zimbabwe,India,India,62 runs,Harare,"Jul 12, 2015"
Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka,"Jul 12, 2015"
Zimbabwe,India,India,83 runs,Harare,"Jul 14, 2015"
Bangladesh,South Africa,Bangladesh,9 wickets,Chittagong,"Jul 15, 2015"
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,"Jul 15, 2015"
Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),"Jul 19, 2015"
Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),"Jul 22, 2015"
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,"Jul 26, 2015"
Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,"Aug 2, 2015"
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Aug 4, 2015"
Zimbabwe,New Zealand,New Zealand,38 runs,Harare,"Aug 7, 2015"
South Africa,New Zealand,South Africa,20 runs,Centurion,"Aug 19, 2015"
South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,"Aug 23, 2015"
South Africa,New Zealand,South Africa,62 runs,Durban,"Aug 26, 2015"
Ireland,Australia,Australia,23 runs,Belfast,"Aug 27, 2015"
England,Australia,Australia,59 runs,Southampton,"Sep 3, 2015"
England,Australia,Australia,64 runs,Lord's,"Sep 5, 2015"
England,Australia,England,93 runs,Manchester,"Sep 8, 2015"
England,Australia,England,3 wickets,Leeds,"Sep 11, 2015"
England,Australia,Australia,8 wickets,Manchester,"Sep 13, 2015"
Zimbabwe,Pakistan,Pakistan,131 runs,Harare,"Oct 1, 2015"
Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,"Oct 3, 2015"
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Oct 5, 2015"
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Oct 9, 2015"
India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015"
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Oct 11, 2015"
Zimbabwe,Ireland,Ireland,2 wickets,Harare,"Oct 13, 2015"
India,South Africa,India,22 runs,Indore,"Oct 14, 2015"
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Oct 16, 2015"
Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,"Oct 18, 2015"
India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015"
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Oct 20, 2015"
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,"Oct 22, 2015"
India,South Africa,India,35 runs,Chennai,"Oct 22, 2015"
Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,"Oct 24, 2015"
India,South Africa,South Africa,214 runs,Mumbai,"Oct 25, 2015"
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),"Nov 1, 2015"
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),"Nov 4, 2015"
Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka,"Nov 7, 2015"
Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,"Nov 7, 2015"
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Nov 9, 2015"
Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka,"Nov 11, 2015"
England,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Nov 11, 2015"
England,Pakistan,England,95 runs,Abu Dhabi,"Nov 13, 2015"
U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,"Nov 16, 2015"
England,Pakistan,England,6 wickets,Sharjah,"Nov 17, 2015"
U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,"Nov 18, 2015"
England,Pakistan,England,84 runs,Dubai (DSC),"Nov 20, 2015"
Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,"Dec 25, 2015"
New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,"Dec 26, 2015"
New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,"Dec 28, 2015"
Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,"Dec 29, 2015"
New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,"Dec 31, 2015"
New Zealand,Sri Lanka,no result,,Nelson,"Jan 2, 2016"
Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,"Jan 2, 2016"
Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,"Jan 4, 2016"
New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,"Jan 5, 2016"
Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,"Jan 6, 2016"
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016"
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016"
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016"
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016"
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016"
New Zealand,Pakistan,New Zealand,70 runs,Wellington,"Jan 25, 2016"
Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,"Jan 26, 2016"
New Zealand,Pakistan,New Zealand,3 wickets,Auckland,"Jan 31, 2016"
New Zealand,Australia,New Zealand,159 runs,Auckland,"Feb 3, 2016"
South Africa,England,England,39 runs,Bloemfontein,"Feb 3, 2016"
New Zealand,Australia,Australia,4 wickets,Wellington,"Feb 6, 2016"
South Africa,England,England,5 wickets,Port Elizabeth,"Feb 6, 2016"
New Zealand,Australia,New Zealand,55 runs,Hamilton,"Feb 8, 2016"
South Africa,England,South Africa,7 wickets,Centurion,"Feb 9, 2016"
South Africa,England,South Africa,1 wicket,Johannesburg,"Feb 12, 2016"
South Africa,England,South Africa,5 wickets,Cape Town,"Feb 14, 2016"
West Indies,South Africa,West Indies,4 wickets,Providence,"Jun 3, 2016"
West Indies,Australia,Australia,6 wickets,Providence,"Jun 5, 2016"
Australia,South Africa,South Africa,47 runs,Providence,"Jun 7, 2016"
Zimbabwe,India,India,9 wickets,Harare,"Jun 11, 2016"
Australia,South Africa,Australia,36 runs,Basseterre,"Jun 11, 2016"
Zimbabwe,India,India,8 wickets,Harare,"Jun 13, 2016"
West Indies,Australia,West Indies,4 wickets,Basseterre,"Jun 13, 2016"
Zimbabwe,India,India,10 wickets,Harare,"Jun 15, 2016"
West Indies,South Africa,South Africa,139 runs,Basseterre,"Jun 15, 2016"
Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),"Jun 16, 2016"
Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),"Jun 18, 2016"
Australia,South Africa,no result,,Bridgetown,"Jun 19, 2016"
England,Sri Lanka,tied,,Nottingham,"Jun 21, 2016"
West Indies,Australia,Australia,6 wickets,Bridgetown,"Jun 21, 2016"
England,Sri Lanka,England,10 wickets,Birmingham,"Jun 24, 2016"
West Indies,South Africa,West Indies,100 runs,Bridgetown,"Jun 24, 2016"
England,Sri Lanka,no result,,Bristol,"Jun 26, 2016"
West Indies,Australia,Australia,58 runs,Bridgetown,"Jun 26, 2016"
England,Sri Lanka,England,6 wickets,The Oval,"Jun 29, 2016"
England,Sri Lanka,England,122 runs,Cardiff,"Jul 2, 2016"
Scotland,Afghanistan,no result,,Edinburgh,"Jul 4, 2016"
Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,"Jul 6, 2016"
Ireland,Afghanistan,Afghanistan,39 runs,Belfast,"Jul 12, 2016"
Ireland,Afghanistan,Ireland,6 wickets,Belfast,"Jul 14, 2016"
Ireland,Afghanistan,Afghanistan,79 runs,Belfast,"Jul 17, 2016"
Ireland,Afghanistan,Ireland,12 runs,Belfast,"Jul 19, 2016"
Scotland,U.A.E.,Scotland,98 runs,Edinburgh,"Aug 14, 2016"
Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,"Aug 16, 2016"
Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),"Aug 18, 2016"
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),"Aug 21, 2016"
Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),"Aug 24, 2016"
England,Pakistan,England,44 runs,Southampton,"Aug 24, 2016"
England,Pakistan,England,4 wickets,Lord's,"Aug 27, 2016"
Sri Lanka,Australia,Australia,2 wickets,Dambulla,"Aug 28, 2016"
England,Pakistan,England,169 runs,Nottingham,"Aug 30, 2016"
Sri Lanka,Australia,Australia,6 wickets,Dambulla,"Aug 31, 2016"
England,Pakistan,England,4 wickets,Leeds,"Sep 1, 2016"
Sri Lanka,Australia,Australia,5 wickets,Pallekele,"Sep 4, 2016"
England,Pakistan,Pakistan,4 wickets,Cardiff,"Sep 4, 2016"
Scotland,Hong Kong,no result,,Edinburgh,"Sep 8, 2016"
Scotland,Hong Kong,Scotland,53 runs,Edinburgh,"Sep 10, 2016"
South Africa,Ireland,South Africa,206 runs,Benoni,"Sep 25, 2016"
Bangladesh,Afghanistan,Bangladesh,7 runs,Dhaka,"Sep 25, 2016"
Australia,Ireland,Australia,9 wickets,Benoni,"Sep 27, 2016"
Bangladesh,Afghanistan,Afghanistan,2 wickets,Dhaka,"Sep 28, 2016"
Pakistan,West Indies,Pakistan,111 runs,Sharjah,"Sep 30, 2016"
South Africa,Australia,South Africa,6 wickets,Centurion,"Sep 30, 2016"
Bangladesh,Afghanistan,Bangladesh,141 runs,Dhaka,"Oct 1, 2016"
South Africa,Australia,South Africa,142 runs,Johannesburg,"Oct 2, 2016"
Pakistan,West Indies,Pakistan,59 runs,Sharjah,"Oct 2, 2016"
Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,"Oct 5, 2016"
South Africa,Australia,South Africa,4 wickets,Durban,"Oct 5, 2016"
Bangladesh,England,England,21 runs,Dhaka,"Oct 7, 2016"
South Africa,Australia,South Africa,6 wickets,Port Elizabeth,"Oct 9, 2016"
Bangladesh,England,Bangladesh,34 runs,Dhaka,"Oct 9, 2016"
Bangladesh,England,England,4 wickets,Chittagong,"Oct 12, 2016"
South Africa,Australia,South Africa,31 runs,Cape Town,"Oct 12, 2016"
India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016"
India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016"
India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016"
India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016"
India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016"
Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,"Nov 4, 2016"
Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,"Nov 6, 2016"
Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,"Nov 8, 2016"
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,"Nov 14, 2016"
Sri Lanka,West Indies,West Indies,62 runs,Harare,"Nov 16, 2016"
Zimbabwe,West Indies,tied,,Bulawayo,"Nov 19, 2016"
Zimbabwe,Sri Lanka,no result,,Bulawayo,"Nov 21, 2016"
Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,"Nov 23, 2016"
Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,"Nov 25, 2016"
Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,"Nov 27, 2016"
Australia,New Zealand,Australia,68 runs,Sydney,"Dec 4, 2016"
Australia,New Zealand,Australia,116 runs,Canberra,"Dec 6, 2016"
Australia,New Zealand,Australia,117 runs,Melbourne,"Dec 9, 2016"
New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,"Dec 26, 2016"
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,"Dec 29, 2016"
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,"Dec 31, 2016"
Australia,Pakistan,Australia,92 runs,Brisbane,"Jan 13, 2017"
Australia,Pakistan,Pakistan,6 wickets,Melbourne,"Jan 15, 2017"
India,England,India,3 wickets,Pune,"Jan 15, 2017"
Australia,Pakistan,Australia,7 wickets,Perth,"Jan 19, 2017"
India,England,India,15 runs,Cuttack,"Jan 19, 2017"
Australia,Pakistan,Australia,86 runs,Sydney,"Jan 22, 2017"
Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,"Jan 22, 2017"
India,England,England,5 runs,Kolkata,"Jan 22, 2017"
U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),"Jan 24, 2017"
Australia,Pakistan,Australia,57 runs,Adelaide,"Jan 26, 2017"
U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),"Jan 26, 2017"
South Africa,Sri Lanka,South Africa,8 wickets,Port Elizabeth,"Jan 28, 2017"
New Zealand,Australia,New Zealand,6 runs,Auckland,"Jan 30, 2017"
South Africa,Sri Lanka,South Africa,121 runs,Durban,"Feb 1, 2017"
South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,"Feb 4, 2017"
New Zealand,Australia,New Zealand,24 runs,Hamilton,"Feb 5, 2017"
South Africa,Sri Lanka,South Africa,40 runs,Cape Town,"Feb 7, 2017"
South Africa,Sri Lanka,South Africa,88 runs,Centurion,"Feb 10, 2017"
Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,"Feb 16, 2017"
New Zealand,South Africa,South Africa,4 wickets,Hamilton,"Feb 19, 2017"
Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,"Feb 19, 2017"
Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,"Feb 21, 2017"
New Zealand,South Africa,New Zealand,6 runs,Christchurch,"Feb 22, 2017"
Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,"Feb 24, 2017"
New Zealand,South Africa,South Africa,159 runs,Wellington,"Feb 25, 2017"
Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,"Feb 26, 2017"
New Zealand,South Africa,New Zealand,7 wickets,Hamilton,"Mar 1, 2017"
U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,"Mar 2, 2017"
West Indies,England,England,45 runs,North Sound,"Mar 3, 2017"
New Zealand,South Africa,South Africa,6 wickets,Auckland,"Mar 4, 2017"
U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,"Mar 4, 2017"
West Indies,England,England,4 wickets,North Sound,"Mar 5, 2017"
West Indies,England,England,186 runs,Bridgetown,"Mar 9, 2017"
Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,"Mar 15, 2017"
Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,"Mar 17, 2017"
Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,"Mar 19, 2017"
Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,"Mar 22, 2017"
Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,"Mar 24, 2017"
Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,"Mar 25, 2017"
Sri Lanka,Bangladesh,no result,,Dambulla,"Mar 28, 2017"
U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,"Mar 31, 2017"
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),"Apr 1, 2017"
U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,"Apr 2, 2017"
U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,"Apr 4, 2017"
West Indies,Pakistan,West Indies,4 wickets,Providence,"Apr 7, 2017"
West Indies,Pakistan,Pakistan,74 runs,Providence,"Apr 9, 2017"
West Indies,Pakistan,Pakistan,6 wickets,Providence,"Apr 11, 2017"
England,Ireland,England,7 wickets,Bristol,"May 5, 2017"
England,Ireland,England,85 runs,Lord's,"May 7, 2017"
Ireland,Bangladesh,no result,,Dublin (Malahide),"May 12, 2017"
Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),"May 14, 2017"
Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,"May 17, 2017"
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),"May 19, 2017"
Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),"May 21, 2017"
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,"May 24, 2017"
England,South Africa,England,72 runs,Leeds,"May 24, 2017"
England,South Africa,England,2 runs,Southampton,"May 27, 2017"
England,South Africa,South Africa,7 wickets,Lord's,"May 29, 2017"
England,Bangladesh,England,8 wickets,The Oval,"Jun 1, 2017"
Australia,New Zealand,no result,,Birmingham,"Jun 2, 2017"
South Africa,Sri Lanka,South Africa,96 runs,The Oval,"Jun 3, 2017"
India,Pakistan,India,124 runs,Birmingham,"Jun 4, 2017"
Australia,Bangladesh,no result,,The Oval,"Jun 5, 2017"
England,New Zealand,England,87 runs,Cardiff,"Jun 6, 2017"
Pakistan,South Africa,Pakistan,19 runs,Birmingham,"Jun 7, 2017"
India,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 8, 2017"
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,"Jun 9, 2017"
West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,"Jun 9, 2017"
England,Australia,England,40 runs,Birmingham,"Jun 10, 2017"
India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017"
West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,"Jun 11, 2017"
Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,"Jun 12, 2017"
England,Pakistan,Pakistan,8 wickets,Cardiff,"Jun 14, 2017"
West Indies,Afghanistan,no result,,Gros Islet,"Jun 14, 2017"
Bangladesh,India,India,9 wickets,Birmingham,"Jun 15, 2017"
Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,"Jun 15, 2017"
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,"Jun 17, 2017"
India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017"
West Indies,India,no result,,Port of Spain,"Jun 23, 2017"
West Indies,India,India,105 runs,Port of Spain,"Jun 25, 2017"
Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,"Jun 30, 2017"
West Indies,India,India,93 runs,North Sound,"Jun 30, 2017"
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,"Jul 2, 2017"
West Indies,India,West Indies,11 runs,North Sound,"Jul 2, 2017"
Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,"Jul 6, 2017"
West Indies,India,India,8 wickets,Kingston,"Jul 6, 2017"
Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,"Jul 8, 2017"
Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,"Jul 10, 2017"
Sri Lanka,India,India,9 wickets,Dambulla,"Aug 20, 2017"
Sri Lanka,India,India,3 wickets,Pallekele,"Aug 24, 2017"
Sri Lanka,India,India,6 wickets,Pallekele,"Aug 27, 2017"
Sri Lanka,India,India,168 runs,Colombo (RPS),"Aug 31, 2017"
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Sep 3, 2017"
India,Australia,India,26 runs,Chennai,"Sep 17, 2017"
England,West Indies,England,7 wickets,Manchester,"Sep 19, 2017"
India,Australia,India,50 runs,Kolkata,"Sep 21, 2017"
England,West Indies,no result,,Nottingham,"Sep 21, 2017"
India,Australia,India,5 wickets,Indore,"Sep 24, 2017"
England,West Indies,England,124 runs,Bristol,"Sep 24, 2017"
England,West Indies,England,6 runs,The Oval,"Sep 27, 2017"
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017"
England,West Indies,England,9 wickets,Southampton,"Sep 29, 2017"
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017"
P.N.G.,Scotland,Scotland,101 runs,Port Moresby,"Oct 6, 2017"
P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,"Oct 8, 2017"
Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),"Oct 13, 2017"
South Africa,Bangladesh,South Africa,10 wickets,Kimberley,"Oct 15, 2017"
Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,"Oct 16, 2017"
South Africa,Bangladesh,South Africa,104 runs,Paarl,"Oct 18, 2017"
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 18, 2017"
Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Oct 20, 2017"
India,New Zealand,New Zealand,6 wickets,Mumbai,"Oct 22, 2017"
South Africa,Bangladesh,South Africa,200 runs,East London,"Oct 22, 2017"
Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,"Oct 23, 2017"
India,New Zealand,India,6 wickets,Pune,"Oct 25, 2017"
India,New Zealand,India,6 runs,Kanpur,"Oct 29, 2017"
